Taxon,Vernacular,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Quercus velutina,Black Oak,Quercus,50-2004,50-2004*1,United States of America,The Morton Arboretum Research Program,w,"Linden, P.J. van der","United States of America, Illinois, Will, along Merioneth Road",G-100,86-40,41.8134300000,-88.0511850000,George H. Ware,
Quercus saulii,Saul's Oak,Quercus,580-32,580-32*2,,Arnold Arboretum of Harvard University,g,,,M-98,36-18,41.8149170000,-88.0520650000,,
Quercus variabilis,Oriental Oak,Quercus,19-2003,19-2003*2,China (PRC),Chicago Botanic Garden (Botanic Garden of the Chicago Horticultural Society,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",J-96,93-40,41.8142350000,-88.0526880000,,
Quercus imbricaria,Shingle Oak,Quercus,1512-35,1512-35*3,,Missouri Botanical Garden,g,,,N-103,04-08,41.8151490000,-88.0502780000,,
Quercus imbricaria,Shingle Oak,Quercus,1183-2004,1183-2004*1,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,"Trager, J.C.","United States of America, Missouri, Franklin, Shaw Nature Reserve and along I-44 roadside",K-97,35-64,41.8143610000,-88.0522390000,,
Quercus aliena,Oriental White Oak,Quercus,340-2002,340-2002*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",L-98,84-48,41.8147780000,-88.0519490000,,
Quercus bimundorum 'JFS-KW1QX',Two Worlds Oak,Quercus,210-2012,210-2012*1,,J. Frank Schmidt & Son Co.,g,,,K-92,96-94,41.8144850000,-88.0539690000,,
Quercus marilandica,Blackjack Oak,Quercus,1134-2004,1134-2004*5,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Franklin, along I-44 roadside, old Rte 66",J-94,63-87,41.8141380000,-88.0532450000,,
Quercus bicolor,Swamp White Oak,Quercus,12-2004,12-2004*2,United States of America,Starhill Forest Arboretum,w,"Sternberg, G.","United States of America, Illinois, Menard",O-95,17-57,41.8153900000,-88.0530440000,,
Quercus montana,Chestnut Oak,Quercus,657-33,657-33*1,,Arnold Arboretum of Harvard University,g,,,I-101,20-90,41.8138110000,-88.0506510000,,
Quercus faginea subsp. faginea,Portugese Oak,Quercus,17-2011,17-2011*2,,,g,,,J-104,39-10,41.8141580000,-88.0498600000,,
Quercus alba,White Oak,Quercus,134-U,134-U*60,,columbia,u,,,J-102,08-59,41.8140650000,-88.0504160000,"Sullivan, Marilyn",
Quercus aliena var. acutiserrata,Oriental White Oak,Quercus,530-2008,530-2008*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",K-94,27-95,41.8143140000,-88.0532240000,,
Quercus lusitanica,Lusitanian Oak,Quercus,18-2011,18-2011*2,,,g,,,J-105,87-86,41.8143060000,-88.0492200000,,
Quercus robur,English Oak,Quercus,701-57,701-57*1,,The Morton Arboretum,g,,,D-105,75-00,41.8126190000,-88.0494610000,,
Quercus palustris,Pin Oak,Quercus,1484-35,1484-35*1,,Arnold Arboretum of Harvard University,g,,,M-98,70-68,41.8150150000,-88.0518860000,,
Quercus fusiformis,Texas Live Oak,Quercus,14-2006,14-2006*3,United States of America,Starhill Forest Arboretum,w,"Sternberg, G.","United States of America, Oklahoma",K-99,84-51,41.8145130000,-88.0515590000,,
Quercus lyrata,Overcup Oak,Quercus,1133-2004,1133-2004*1,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Stoddard, near parking lot in Otter Slough State Conservation Area",O-96,16-72,41.8153980000,-88.0526220000,,
Quercus variabilis,Oriental Oak,Quercus,339-2002,339-2002*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",G-101,88-51,41.8134450000,-88.0507780000,,
