Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,497-2008,497-2008*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji, near Da Fang Shan",S-99,96-77,41.8167420000,-88.0515630000,,
Acer pseudoplatanus 'Esk Sunset',Esk Sunset Sycamore Maple,,Acer,184-2006,184-2006*2,,"Beaver Creek Nursery, Inc.",g,,,U-99,60-94,41.8171930000,-88.0515210000,"Grass, Roland George",
Acer argutum Maxim. ex Miq.,Deep-veined Maple,,Acer,291-2013,291-2013*1,,The Morton Arboretum,g,,,Q-102,54-96,41.8161080000,-88.0503630000,,
Acer palmatum 'Burgundy Lace',Burgundy Lace Japanese Maple,,Acer,432-47,432-47*1,,,g,,,T-99,31-19,41.8168330000,-88.0517800000,,
Acer barbatum Michx.,Florida Maple,,Acer,420-2006,420-2006*1,United States of America,The Morton Arboretum,z,?,"United States of America, Illinois, Johnson, along Cedar Creek, on Gum Springs Trail, 1 mile south of Renoldsburg",Q-102,87-18,41.8161910000,-88.0506540000,,
Acer henryi Pax,Chinese Boxelder,,Acer,495-2008,495-2008*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji, at Huang Tia Ping",P-99,19-25,41.8157030000,-88.0517080000,,
Acer mandshuricum Maxim.,Manchurian Maple,,Acer,97-2016,97-2016*1,,University of Delaware Botanic Gardens,g,,,S-103,24-67,41.8165810000,-88.0501250000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,366-49,366-49*2,,Arnold Arboretum of Harvard University,g,,,S-99,30-56,41.8165590000,-88.0516320000,,
Acer saccharinum 'Aureum',Golden Silver Maple,,Acer,648-56,648-56*1,,The Morton Arboretum,g,,,O-96,25-50,41.8154200000,-88.0527040000,,
Acer barbinerve Maxim. ex Miq.,Hairy-veined Maple,,Acer,258-2002,258-2002*1,China (PRC),U.S. National Arboretum Woody Landscape Plant Germplasm Repository,w,"Cui, T","China (PRC), Shaanxi, Mei(xian), at Taibaishan",W-99,43-98,41.8176960000,-88.0515290000,,
Acer pseudoplatanus 'Esk Sunset',Esk Sunset Sycamore Maple,,Acer,184-2006,184-2006*1,,"Beaver Creek Nursery, Inc.",g,,,U-99,42-76,41.8171420000,-88.0515850000,,
Acer pseudosieboldianum (Pax) Kom.,Korean Maple,,Acer,324-2000,324-2000*4,Russia,The Morton Arboretum Research Program,w,,"Russia, Rossiya (Russia), Primor'ye",T-99,88-15,41.8169890000,-88.0518020000,,
Acer miyabei 'JFS-KW3AMI',Miyabe's Maple,RUGGED RIDGE,Acer,198-2012,198-2012*1,,J. Frank Schmidt & Son Co.,g,,,U-102,11-30,41.8170810000,-88.0506500000,,
Acer cappadocicum Gled.,Coliseum Maple,,Acer,660-2006,660-2006*1,,Morris Arboretum of the University of Pennsylvania,g,,,U-100,44-14,41.8171510000,-88.0514460000,,
Acer davidii subsp. grosseri (Pax) P.C.de Jong,Grosser's Maple,,Acer,886-2005,886-2005*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Zhou Qu, at Sha Tan Forest Station",R-99,85-63,41.8164360000,-88.0516010000,,
